clip_id,provider,accent,tier,domain,duration,wer,drug_mentions,drug_correct,drug_substitution,drug_deletion,doses,dose_correct,dose_value_error,dose_unit_error,dose_missing,negation_cues,negation_preserved,negation_lost
2724a2c5e5300779ab3ada65f742cd32,aai,kanuri,C,clinical,18.96199546485261,0.2222222222222222,0,0,0,0,1,1,0,0,0,0,0,0
27984ad90703cedf54d2c84bfc6e1a3c,aai,hausa,A,clinical,11.0,0.38095238095238093,0,0,0,0,1,0,0,1,0,0,0,0
27a69c2d378ad815e50f2c5f1c8681c4,aai,hausa,A,general,11.496984126984124,0.05555555555555555,0,0,0,0,0,0,0,0,0,1,1,0
2851fe0a1b43c3baae5bdfdf81096810,aai,isizulu,B,general,7.33,0.0,0,0,0,0,0,0,0,0,0,1,1,0
28a0e7c3607b7125515e431edc797640,aai,ebira,B,general,13.531995464852605,0.0,0,0,0,0,1,1,0,0,0,0,0,0
294291ec62b0f0bf47d94dcedd2546ec,aai,isixhosa,C,clinical,10.070997732426305,0.0,0,0,0,0,0,0,0,0,0,1,1,0
2a2db36f700c4b370d82f111f4e23096,aai,etsako,C,clinical,16.0,0.027777777777777776,4,4,0,0,1,1,0,0,0,0,0,0
2b1b9ae7cd7fe6f78a8d421c292ec1f9,aai,swahili,A,clinical,13.748979591836736,0.02857142857142857,0,0,0,0,0,0,0,0,0,1,1,0
2b38ff9e6cc429930096779e6805e2fc,aai,english,C,clinical,4.17,0.2222222222222222,0,0,0,0,0,0,0,0,0,1,1,0
2b9e0870d44858a2bdf2d9c5c56f1bcc,aai,luhya,B,clinical,11.74,0.19047619047619047,0,0,0,0,1,1,0,0,0,0,0,0
2c417f9512707188cc0f0aba9d9a80ef,aai,mada,C,clinical,19.518979591836725,0.0,2,2,0,0,1,1,0,0,0,0,0,0
2c426ab072756f14159874cb727c3d75,aai,epie,C,clinical,7.688979591836735,0.47368421052631576,1,1,0,0,0,0,0,0,0,0,0,0
2cb670d452cc50d146a3510276df791a,aai,swahili,A,clinical,13.953990929705215,0.0,5,5,0,0,0,0,0,0,0,0,0,0
2d08b60a5b597f41bb0a98352a8ffd77,aai,kanuri,C,clinical,18.316984126984128,0.037037037037037035,2,2,0,0,1,1,0,0,0,0,0,0
2e75f34dd0eb98b8bcc2294340dec033,aai,swahili,A,clinical,16.196984126984127,0.0,0,0,0,0,0,0,0,0,0,2,2,0
2eaf4bbff8454dc9f957c29a33be26e5,aai,eleme,C,clinical,16.48,0.2,0,0,0,0,1,1,0,0,0,0,0,0
2eed62adea9bb14af1995a7556a5d67b,aai,yoruba,A,clinical,4.0,0.125,0,0,0,0,0,0,0,0,0,1,1,0
2f11308426efe80f4c4a23795b245383,aai,swahili,A,clinical,5.12498866213152,0.09090909090909091,0,0,0,0,0,0,0,0,0,1,1,0
2f799aea50510fb1c1ed7d9fbca7b165,aai,isizulu,B,clinical,14.11498866213152,0.0,2,2,0,0,0,0,0,0,0,0,0,0
314a2b2e71c7ca951b543fd65d4dbe57,aai,pidgin,B,clinical,8.584988662131519,0.0,0,0,0,0,0,0,0,0,0,0,0,0
320840b5470cf91679cb154ecddc4d86,aai,hausa,A,clinical,15.0,0.0625,0,0,0,0,1,0,1,0,0,0,0,0
3460e423c9c3b90911acf68bc70d3723,aai,hausa,A,general,10.65498866213152,0.0,0,0,0,0,0,0,0,0,0,1,1,0
34d37026e4e37ae05622a784be342ac9,aai,ekene,C,general,4.745986394557823,0.21428571428571427,0,0,0,0,0,0,0,0,0,0,0,0
36c14ff38c73d6ebc90db41430b058d1,aai,igbo,A,clinical,7.592993197278911,0.09090909090909091,0,0,0,0,0,0,0,0,0,1,1,0
