provider,accent,clips,wer,drug_mentions,drug_accuracy,drug_substitutions,doses,dose_value_accuracy,dose_value_errors,dose_unit_errors,negation_cues,negation_preservation
dg-general,benin,1,1.9,0,,0,0,,0,0,0,
dg-general,berom,3,0.17487684729064037,0,,0,2,1.0,0,0,1,1.0
dg-general,bini,3,0.25317460317460316,0,,0,2,1.0,0,0,0,
dg-general,brass,3,0.1615159034513873,1,1.0,0,1,1.0,0,0,1,1.0
dg-general,delta,3,0.43,0,,0,1,0.0,0,0,2,1.0
dg-general,ebiobo,3,0.29480820105820105,0,,0,0,,0,0,1,1.0
dg-general,ebira,9,0.33330635457072233,1,1.0,0,7,0.8571428571428571,1,0,2,1.0
dg-general,edo,1,0.23333333333333334,0,,0,0,,0,0,2,1.0
dg-general,efik,2,0.6682692307692308,3,0.0,0,4,1.0,0,0,0,
dg-general,eggon,3,0.43081232492997196,0,,0,1,1.0,0,0,1,1.0
dg-general,ekene,3,0.38571428571428573,2,1.0,0,2,1.0,0,0,0,
dg-general,eket,2,0.125,3,1.0,0,1,1.0,0,0,0,
dg-general,ekpeye,3,0.46618357487922696,0,,0,3,1.0,0,0,2,1.0
dg-general,eleme,2,0.6090909090909091,2,1.0,0,2,1.0,0,0,0,
dg-general,english,3,0.2814319336058467,1,1.0,0,0,,0,0,3,1.0
dg-general,epie,3,0.34165542060278903,1,1.0,0,2,1.0,0,0,1,1.0
dg-general,esan,6,0.2209365797601092,0,,0,0,,0,0,0,
dg-general,estako,2,0.34259259259259256,3,1.0,0,3,1.0,0,0,0,
dg-general,etche,3,0.4444444444444444,1,1.0,0,3,0.3333333333333333,0,1,1,1.0
dg-general,etsako,2,0.19444444444444442,6,0.8333333333333334,1,2,1.0,0,0,0,
dg-general,fulani,3,0.21507936507936506,0,,0,1,1.0,0,0,2,1.0
dg-general,gbagyi,3,0.4511111111111111,1,1.0,0,3,1.0,0,0,0,
dg-general,hausa,28,0.32666425002019617,15,0.6666666666666666,0,17,0.5882352941176471,1,1,14,1.0
dg-general,ibani,3,0.10256410256410257,0,,0,1,1.0,0,0,2,1.0
dg-general,ibibio,9,0.30469802686341474,2,0.5,0,2,1.0,0,0,6,1.0
dg-general,idah,2,0.7057416267942584,0,,0,4,0.75,0,0,0,
dg-general,idoma,9,0.4833825960431775,10,0.8,0,7,0.8571428571428571,0,0,1,1.0
dg-general,igala,8,0.34179639804639805,1,1.0,0,0,,0,0,1,1.0
dg-general,igarra,3,0.47594696969696965,1,0.0,0,2,0.5,0,0,1,1.0
dg-general,igbo,28,0.3357045153671053,9,0.6666666666666666,0,16,0.875,0,0,15,0.9333333333333333
dg-general,ijaw,27,0.40138306240458593,3,0.6666666666666666,0,5,1.0,0,0,10,0.9
dg-general,ika,3,0.41060606060606064,0,,0,2,1.0,0,0,1,1.0
dg-general,ikulu,2,0.0,2,1.0,0,1,1.0,0,0,1,1.0
dg-general,ishan,2,0.4166666666666667,0,,0,2,1.0,0,0,0,
dg-general,isixhosa,2,0.1225,2,1.0,0,0,,0,0,1,1.0
dg-general,isizulu,9,0.36769059400638343,7,0.8571428571428571,0,0,,0,0,3,1.0
dg-general,isoko,2,0.16666666666666666,1,1.0,0,1,1.0,0,0,0,
dg-general,itsekiri,2,0.05,1,1.0,0,2,1.0,0,0,0,
dg-general,izon,2,0.3282967032967033,0,,0,1,1.0,0,0,1,1.0
dg-general,jaba,2,0.5034722222222222,2,0.5,0,0,,0,0,0,
dg-general,jukun,2,0.3125,0,,0,0,,0,0,0,
dg-general,kalabari,2,0.175,2,1.0,0,0,,0,0,2,1.0
dg-general,kanuri,2,0.4351851851851852,2,1.0,0,2,1.0,0,0,0,
dg-general,khana,2,0.45864661654135336,1,1.0,0,1,1.0,0,0,0,
dg-general,kikuyu,2,0.20723684210526316,0,,0,0,,0,0,2,1.0
dg-general,kinyarwanda,8,0.3420322430047288,3,0.3333333333333333,0,0,,0,0,5,0.8
dg-general,kiswahili,6,0.3136039886039886,1,1.0,0,1,1.0,0,0,1,1.0
dg-general,kubi,2,0.21462639109697934,1,1.0,0,0,,0,0,1,1.0
dg-general,luganda,7,0.3438208616780046,0,,0,0,,0,0,4,1.0
dg-general,luhya,7,0.2306997942836531,4,0.75,0,1,1.0,0,0,4,1.0
dg-general,luo,2,0.30625,2,0.5,1,0,,0,0,1,1.0
dg-general,mada,2,0.5481283422459893,3,0.6666666666666666,0,2,1.0,0,0,0,
dg-general,mwaghavul,2,0.2976190476190476,2,0.0,0,2,1.0,0,0,0,
dg-general,nembe,4,0.2630952380952381,0,,0,0,,0,0,0,
dg-general,ngas,2,0.30000000000000004,0,,0,0,,0,0,0,
dg-general,nyandang,1,1.1333333333333333,0,,0,1,0.0,0,0,0,
dg-general,obolo,1,0.22727272727272727,1,1.0,0,0,,0,0,0,
dg-general,ogbia,1,0.3,0,,0,0,,0,0,1,1.0
dg-general,ogoni,1,0.07692307692307693,1,0.0,0,0,,0,0,0,
dg-general,oklo,1,0.06896551724137931,0,,0,1,1.0,0,0,0,
